Execucao Regras Enviado Recebido Indice
1 250 8.77688694 13.0930140018 1
1 500 16.2666568756 26.5627949238 1
1 750 29.8241260052 51.2019188404 1
1 1000 54.5410840511 88.0996088982 1
1 1250 91.55159688 143.683447838 1
1 1500 147.206243038 217.132428885 1
1 1750 220.747172832 320.863926888 1
1 2000 324.574772835 504.986138821 1
1 2250 508.800642967 799.391924858 1
2 250 10.8788609505 16.2600979805 1
2 500 19.4332568645 32.0298058987 1
2 750 35.2856500149 52.8994688988 1
2 1000 56.2898459435 86.4996159077 1
2 1250 89.9522278309 138.825193882 1
2 1500 142.34805584 214.881696939 1
2 1750 218.494284868 337.371502876 1
2 2000 341.079049826 520.437201977 1
2 2250 524.291203022 792.355415821 1
3 250 4.0642209053 8.73094105721 1
3 500 11.9108400345 21.7431979179 1
3 750 25.003567934 44.7665090561 1
3 1000 48.120677948 76.7640450001 1
3 1250 80.2057700157 129.372467995 1
3 1500 132.889809847 208.098588943 1
3 1750 211.744628906 327.55685997 1
3 2000 331.310849905 499.725375891 1
3 2250 503.627322912 763.528905869 1
1 250 5.61264109612 11.043817997 2
1 500 14.222589016 25.3198471069 2
1 750 28.5857059956 49.6126050949 2
1 1000 52.9634439945 88.3348121643 2
1 1250 91.7754471302 145.35651207 2
1 1500 148.876425028 217.588728189 2
1 1750 221.24625206 333.358821154 2
1 2000 337.111973047 511.148188114 2
1 2250 515.058333158 822.158933163 2
2 250 6.75295209885 11.7855200768 2
2 500 14.9635210037 25.8603479862 2
2 750 29.1187140942 47.1313509941 2
2 1000 50.4788510799 79.5640060902 2
2 1250 83.0098011494 131.676274061 2
2 1500 135.212412119 209.104491949 2
2 1750 212.759158134 319.609339952 2
2 2000 323.382483006 487.290639162 2
2 2250 491.20345211 784.011064053 2
3 250 14.507942915 19.0243709087 2
3 500 22.1993758678 32.5956308842 2
3 750 35.8538999557 54.5170419216 2
3 1000 57.8608548641 91.3689188957 2
3 1250 94.8069779873 146.174263954 2
3 1500 149.700265884 226.790754795 2
3 1750 230.407480955 340.353629827 2
3 2000 344.071537971 514.602125883 2
3 2250 518.428447008 794.177040815 2
1 250 4.96256184578 53.3182690144 3
1 500 54.4929258823 252.82701993 3
1 750 254.086947918 625.620548964 3
1 1000 626.965559006 1204.3799479 3
1 1250 1205.81342292 1996.91069198 3
1 1500 1998.43232298 2994.686373 3
1 1750 2996.30592585 4315.23358607 3
1 2000 4316.95805693 5890.5632 3
1 2250 6014.74196506 8719.34510397 3
2 250 2.61702895164 50.8695390224 3
2 500 52.0410919189 250.56110096 3
2 750 251.813041925 621.197669029 3
2 1000 622.533256054 1201.19956493 3
2 1250 1202.63818192 1974.74453187 3
2 1500 1976.26948094 2946.38212705 3
2 1750 2947.99940896 4245.77320695 3
2 2000 4247.49001598 6118.95017886 3
2 2250 6120.87765503 8733.97109985 3
3 250 1.48865604401 48.4934091568 3
3 500 49.6702311039 245.387879133 3
3 750 246.651679993 622.801300049 3
3 1000 624.241026163 1193.12983918 3
3 1250 1194.55976701 1968.66662312 3
3 1500 1970.19527721 3006.04244208 3
3 1750 3007.64939499 4240.99403811 3
3 2000 4242.69477415 5906.69651914 3
3 2250 5908.60627508 8704.7191081 3
